File #,Time,Operator,Name,ID,SAMPLE,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg_Error,Al,Al_Error,Si,Si_Error,P,P_Error,S,S_Error,K,K_Error,Ca,Ca_Error,Ti,Ti_Error,V,V_Error,Cr,Cr_Error,Mn,Mn_Error,Fe,Fe_Error,Co,Co_Error,Ni,Ni_Error,Cu,Cu_Error,Zn,Zn_Error,As,As_Error,Rb,Rb_Error,Sr,Sr_Error,Y,Y_Error,Zr,Zr_Error,Nb,Nb_Error,Mo,Mo_Error,Ba,Ba_Error,Pb,Pb_Error,Th,Th_Error,U,U_Error,Cal Check
3294,3/19/2025 14:22,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2366,0.1016,4.9445,0.0636,25.4291,0.0859,0.0236,0.0062,0.2084,0.0057,3.6394,0.0133,0.6869,0.0047,0.1444,0.0022,0.006,0.0012,0.0042,0.0007,0.0918,0.0012,1.9112,0.0053,0.0002,0.0001,0.005,0.0003,0.0284,0.0006,0.0885,0.0008,0.0407,0.0005,0.0156,0.0002,0.0153,0.0002,0.0054,0.0002,0.0224,0.0003,0.0021,0.0002,0.0025,0.0002,0.1459,0.0159,0.0468,0.0005,0.0018,0.0001,0.0006,0.0005,Passed
3295,3/19/2025 14:24,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2167,0.0989,4.6448,0.0618,24.0067,0.0833,0.0179,0.0059,0.2028,0.0056,3.4646,0.0129,0.6603,0.0046,0.1332,0.0022,0.0069,0.0011,0.004,0.0007,0.0891,0.0012,1.8798,0.0053,0.0002,0.0001,0.005,0.0003,0.0278,0.0006,0.0875,0.0008,0.0403,0.0005,0.0153,0.0002,0.0149,0.0002,0.0052,0.0002,0.0213,0.0003,0.002,0.0002,0.0024,0.0002,0.148,0.0158,0.0453,0.0005,0.0017,0.0001,0.0005,0.0005,Passed
3296,3/19/2025 14:27,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2824,0.1011,4.8173,0.0628,24.9592,0.085,0.0171,0.0061,0.2059,0.0057,3.6028,0.0132,0.6825,0.0047,0.1335,0.0022,0.0058,0.0012,0.0036,0.0007,0.0894,0.0012,1.8939,0.0053,0.0002,0.0001,0.0052,0.0004,0.0289,0.0006,0.0899,0.0008,0.0421,0.0005,0.0157,0.0002,0.0153,0.0002,0.0055,0.0002,0.0217,0.0003,0.0021,0.0002,0.0024,0.0002,0.1494,0.0159,0.0461,0.0005,0.0018,0.0001,< LOD,0.0005,Passed
3298,3/19/2025 14:34,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2323,0.1009,4.9167,0.0634,25.1867,0.0855,0.0265,0.0062,0.2132,0.0057,3.5971,0.0133,0.6847,0.0047,0.1413,0.0022,0.0078,0.0012,0.0049,0.0007,0.0934,0.0012,1.9138,0.0054,0.0002,0.0001,0.0049,0.0003,0.0285,0.0006,0.0901,0.0008,0.0416,0.0005,0.0156,0.0002,0.0151,0.0002,0.0056,0.0002,0.022,0.0003,0.0021,0.0002,0.0022,0.0002,0.1447,0.0158,0.0463,0.0005,0.0018,0.0001,0.0006,0.0005,Passed
3299,3/19/2025 14:38,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3257,0.1023,4.8994,0.0633,25.2831,0.0856,0.0275,0.0062,0.2138,0.0057,3.611,0.0133,0.6838,0.0047,0.1383,0.0022,0.0064,0.0012,0.0049,0.0007,0.0928,0.0012,1.9173,0.0054,0.0003,0.0001,0.0052,0.0003,0.0287,0.0006,0.0897,0.0008,0.0415,0.0005,0.0156,0.0002,0.0154,0.0002,0.0056,0.0002,0.0226,0.0003,0.0023,0.0002,0.0026,0.0002,0.156,0.0157,0.0464,0.0005,0.0018,0.0001,0.0008,0.0005,Passed
3300,3/19/2025 14:40,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2526,0.0983,4.5272,0.061,23.181,0.0818,0.0238,0.0059,0.1927,0.0054,3.3948,0.0127,0.648,0.0046,0.1281,0.0022,0.0068,0.0011,0.0039,0.0007,0.0892,0.0012,1.8793,0.0053,0.0003,0.0001,0.0055,0.0004,0.0287,0.0006,0.0923,0.0009,0.0422,0.0005,0.0149,0.0002,0.0155,0.0003,0.0053,0.0002,0.0212,0.0003,0.0019,0.0002,0.0021,0.0002,0.1568,0.0158,0.0447,0.0005,0.0018,0.0001,0.001,0.0005,Passed
3302,3/19/2025 12:01,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2966,0.1022,5.1066,0.0646,25.7725,0.0868,0.0364,0.0063,0.2308,0.0059,3.7146,0.0135,0.7061,0.0048,0.1451,0.0023,0.0061,0.0012,0.0051,0.0007,0.0964,0.0012,1.966,0.0054,0.0002,0.0001,0.005,0.0003,0.0288,0.0006,0.0905,0.0008,0.0408,0.0005,0.0156,0.0002,0.0151,0.0002,0.0055,0.0002,0.0232,0.0003,0.0023,0.0002,0.0026,0.0002,0.1692,0.016,0.0474,0.0005,0.0017,0.0001,< LOD,0.0005,Passed
3303,3/19/2025 12:11,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2729,0.1033,4.9742,0.064,25.0209,0.0856,0.0252,0.0063,0.222,0.0058,3.6706,0.0134,0.7079,0.0048,0.1444,0.0023,0.0073,0.0012,0.0046,0.0007,0.0945,0.0012,1.9701,0.0055,0.0003,0.0001,0.005,0.0003,0.0291,0.0006,0.0908,0.0008,0.0402,0.0005,0.016,0.0002,0.015,0.0002,0.0053,0.0002,0.0234,0.0003,0.0022,0.0002,0.0026,0.0002,0.155,0.016,0.0474,0.0005,0.0018,0.0001,0.0005,0.0005,Passed
3304,3/19/2025 12:13,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2493,0.1004,4.5165,0.0612,22.932,0.0816,0.0266,0.006,0.2035,0.0056,3.4043,0.0127,0.6626,0.0046,0.1343,0.0022,0.0077,0.0011,0.004,0.0007,0.09,0.0012,1.9186,0.0054,0.0002,0.0001,0.0046,0.0004,0.0297,0.0006,0.0943,0.0009,0.0418,0.0005,0.015,0.0002,0.0155,0.0003,0.0055,0.0002,0.0213,0.0003,0.0021,0.0002,0.0022,0.0002,0.1483,0.0159,0.045,0.0005,0.0018,0.0001,0.0006,0.0005,Passed
3306,3/19/2025 12:01,Supervisor,Standard,Standard,SdAR-M2,Loesungsexperiment,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2629,0.1,4.6813,0.062,24.1686,0.0836,0.0223,0.0059,0.2049,0.0056,3.4757,0.0129,0.6644,0.0046,0.134,0.0022,0.0068,0.0011,0.0047,0.0007,0.0906,0.0012,1.8804,0.0053,0.0003,0.0001,0.0049,0.0003,0.0285,0.0006,0.0885,0.0008,0.041,0.0005,0.0149,0.0002,0.0153,0.0003,0.0056,0.0002,0.0216,0.0003,0.0022,0.0002,0.0026,0.0002,0.1523,0.0158,0.0447,0.0005,0.0017,0.0001,< LOD,0.0005,Passed
