"","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Mo","Ba","Pb","Th","U"
"M","245939.8","  1376.6"," 48028.5"," 19130.4","   917.2","  2628.0","  6787.2"," 35574.9","   246.9","  2098.0","    67.6","    43.9","    50.3","   287.1","   902.1","   412.2","   154.2","   152.4","    54.5","   220.7","    21.3","    24.2","  1525.6","   460.1","    17.7","     4.6"
"SD","9725.5","  59.0","2005.3"," 329.8","  25.0"," 326.8"," 197.0","1134.9","  54.1"," 107.5","   6.9","   5.1","   2.4","   4.9","  19.7","   7.2","   3.8","   2.1","   1.4","   8.0","   1.3","   1.9","  72.1","  10.4","   0.5","   3.5"
"SEM","3075.5","  18.7"," 634.1"," 104.3","   7.9"," 103.4","  62.3"," 358.9","  17.1","  34.0","   2.2","   1.6","   0.7","   1.6","   6.2","   2.3","   1.2","   0.7","   0.5","   2.5","   0.4","   0.6","  22.8","   3.3","   0.2","   1.1"
"CV"," 3.95"," 4.28"," 4.18"," 1.72"," 2.73","12.44"," 2.90"," 3.19","21.92"," 5.12","10.28","11.69"," 4.69"," 1.72"," 2.19"," 1.75"," 2.44"," 1.36"," 2.63"," 3.62"," 5.88"," 7.98"," 4.73"," 2.26"," 2.73","76.12"
"LCL","236214","  1318"," 46023"," 18801","   892","  2301","  6590"," 34440","   193","  1991","    61","    39","    48","   282","   882","   405","   150","   150","    53","   213","    20","    22","  1454","   450","    17","     1"
"UCL","255665","  1436"," 50034"," 19460","   942","  2955","  6984"," 36710","   301","  2205","    75","    49","    53","   292","   922","   419","   158","   154","    56","   229","    23","    26","  1598","   470","    18","     8"
"CV2","  7.91","  8.57","  8.35","  3.45","  5.46"," 24.87","  5.80","  6.38"," 43.84"," 10.25"," 20.55"," 23.37","  9.38","  3.44","  4.38","  3.50","  4.88","  2.71","  5.26","  7.24"," 11.75"," 15.97","  9.45","  4.51","  5.46","152.25"
"LCL2","226489","  1259"," 44018"," 18471","   867","  1974","  6393"," 33305","   139","  1883","    54","    34","    46","   277","   863","   398","   147","   148","    52","   205","    19","    20","  1381","   439","    17","    -2"
"UCL2","265391","  1495"," 52039"," 19790","   967","  3282","  7181"," 37845","   355","  2313","    81","    54","    55","   297","   942","   427","   162","   157","    57","   237","    24","    28","  1670","   481","    19","    12"
"CV3"," 11.86"," 12.85"," 12.53","  5.17","  8.19"," 37.31","  8.71","  9.57"," 65.76"," 15.37"," 30.83"," 35.06"," 14.07","  5.15","  6.57","  5.25","  7.33","  4.07","  7.89"," 10.86"," 17.63"," 23.95"," 14.18","  6.77","  8.19","228.37"
"LCL3","216763","  1200"," 42013"," 18141","   842","  1648","  6196"," 32170","    85","  1776","    47","    29","    43","   272","   843","   391","   143","   146","    50","   197","    18","    18","  1309","   429","    16","    -6"
"UCL3","275116","  1554"," 54044"," 20120","   992","  3608","  7378"," 38980","   409","  2420","    88","    59","    57","   302","   961","   434","   165","   159","    59","   245","    25","    30","  1742","   491","    19","    15"
"MD","249900.5","  1363.0"," 48583.5"," 19125.0","   912.0","  2577.5","  6831.5"," 35999.5","   245.0","  2071.5","    68.0","    44.0","    50.0","   287.0","   900.0","   412.5","   156.0","   153.0","    55.0","   218.5","    21.0","    24.5","  1508.5","   462.0","    18.0","     5.5"
"MU_M"," 844.7","  22.2"," 627.7","  53.6","  12.0","1009.0","  46.8"," 131.2","  61.0","  56.7","  11.6","   7.0","   3.3","   6.0","   8.2","   5.0","   2.0","   2.3","   2.0","   3.0","   2.0","   2.0"," 158.6","   5.0","   1.0","   5.0"
"MU_SD","17.9"," 0.4","12.2"," 0.7"," 0.0","15.5"," 0.8"," 2.9"," 1.6"," 1.3"," 0.5"," 0.0"," 0.5"," 0.0"," 0.4"," 0.0"," 0.0"," 0.5"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"
"MU_MD"," 852.5","  22.0"," 630.5","  53.5","  12.0","1010.0","  47.0"," 132.5","  61.5","  57.0","  12.0","   7.0","   3.0","   6.0","   8.0","   5.0","   2.0","   2.0","   2.0","   3.0","   2.0","   2.0"," 158.5","   5.0","   1.0","   5.0"
