"Element","M","SD","SEM","CV","LCL","UCL","CV2","LCL2","UCL2","CV3","LCL3","UCL3","MD","MU_M","MU_SD","MU_MD","Empirical_LOD","Manufacturer_LOD","Empirical_LOQ"
"Si",245939.8,9725.5,3075.5,3.95,236214,255665,7.91,226489,265391,11.86,216763,275116,249900.5,844.7,17.9,852.5,3657,56,12068
"Ti",1376.6,59,18.7,4.28,1318,1436,8.57,1259,1495,12.85,1200,1554,1363,22.2,0.4,22,93,8,307
"Al",48028.5,2005.3,634.1,4.18,46023,50034,8.35,44018,52039,12.53,42013,54044,48583.5,627.7,12.2,630.5,2403,111,7930
"Fe",19130.4,329.8,104.3,1.72,18801,19460,3.45,18471,19790,5.17,18141,20120,19125,53.6,0.7,53.5,195,8,644
"Mn",917.2,25,7.9,2.73,892,942,5.46,867,967,8.19,842,992,912,12,0,12,42,10,139
"Mg",2628,326.8,103.4,12.44,2301,2955,24.87,1974,3282,37.31,1648,3608,2577.5,1009,15.5,1010,4293,404,14167
"Ca",6787.2,197,62.3,2.9,6590,6984,5.8,6393,7181,8.71,6196,7378,6831.5,46.8,0.8,47,138,14,455
"K",35574.9,1134.9,358.9,3.19,34440,36710,6.38,33305,37845,9.57,32170,38980,35999.5,131.2,2.9,132.5,435,16,1436
"P",246.9,54.1,17.1,21.92,193,301,43.84,139,355,65.76,85,409,245,61,1.6,61.5,231,12,762
"S",2098,107.5,34,5.12,1991,2205,10.25,1883,2313,15.37,1776,2420,2071.5,56.7,1.3,57,195,32,644
"V",67.6,6.9,2.2,10.28,61,75,20.55,54,81,30.83,47,88,68,11.6,0.5,12,48,2,158
"Cr",43.9,5.1,1.6,11.69,39,49,23.37,34,54,35.06,29,59,44,7,0,7,30,3,99
"Ni",50.3,2.4,0.7,4.69,48,53,9.38,46,55,14.07,43,57,50,3.3,0.5,3,12,3,40
"Cu",287.1,4.9,1.6,1.72,282,292,3.44,277,297,5.15,272,302,287,6,0,6,15,1,50
"Zn",902.1,19.7,6.2,2.19,882,922,4.38,863,942,6.57,843,961,900,8.2,0.4,8,18,2,59
"As",412.2,7.2,2.3,1.75,405,419,3.5,398,427,5.25,391,434,412.5,5,0,5,12,2,40
"Rb",154.2,3.8,1.2,2.44,150,158,4.88,147,162,7.33,143,165,156,2,0,2,9,2,30
"Sr",152.4,2.1,0.7,1.36,150,154,2.71,148,157,4.07,146,159,153,2.3,0.5,2,9,2,30
"Y",54.5,1.4,0.5,2.63,53,56,5.26,52,57,7.89,50,59,55,2,0,2,9,2,30
"Zr",220.7,8,2.5,3.62,213,229,7.24,205,237,10.86,197,245,218.5,3,0,3,9,1,30
"Nb",21.3,1.3,0.4,5.88,20,23,11.75,19,24,17.63,18,25,21,2,0,2,9,3,30
"Mo",24.2,1.9,0.6,7.98,22,26,15.97,20,28,23.95,18,30,24.5,2,0,2,9,4,30
"Ba",1525.6,72.1,22.8,4.73,1454,1598,9.45,1381,1670,14.18,1309,1742,1508.5,158.6,1,158.5,657,17,2168
"Pb",460.1,10.4,3.3,2.26,450,470,4.51,439,481,6.77,429,491,462,5,0,5,15,14,50
"Th",17.7,0.5,0.2,2.73,17,18,5.46,17,19,8.19,16,19,18,1,0,1,3,2,10
"U",4.6,3.5,1.1,76.12,1,8,152.25,-2,12,228.37,-6,15,5.5,5,0,5,24,2,79
